,Municipios,Total,CP,Provincia,new_col
1,Abajas,290,09001,Burgos,PP
2,Adrada de Haza,1970,09003,Burgos,C's
3,Aguas Cándidas,560,09006,Burgos,PP
4,Aguilar de Bureba,520,09007,Burgos,PP
5,Albillos,2210,09009,Burgos,PP
6,Alcocero de Mola,330,09010,Burgos,PP
7,Alfoz de Bricia,730,09011,Burgos,PCAS-TC-PACTO
8,Alfoz de Quintanadueñas,2163,09907,Burgos,Independientes Alfoz de Quintanadueñas
9,Alfoz de Santa Gadea,1050,09012,Burgos,PP
10,Altable,470,09013,Burgos,PP
11,Los Altos,1910,09014,Burgos,PSOE
12,Ameyugo,1160,09016,Burgos,PP
13,Anguix,1580,09017,Burgos,PSOE
14,Aranda de Duero,33084,09018,Burgos,PP
15,Arandilla,1580,09019,Burgos,PSOE
16,Arauzo de Miel,2880,09020,Burgos,PP
17,Arauzo de Salce,470,09021,Burgos,PSOE
18,Arauzo de Torre,710,09022,Burgos,Cs
19,Arcos,1816,09023,Burgos,PP
20,Arenillas de Riopisuerga,1760,09024,Burgos,AEAR
21,Arija,1180,09025,Burgos,PP
22,Arlanzón,4190,09026,Burgos,C's
23,Arraya de Oca,460,09027,Burgos,PSOE
24,Atapuerca,1820,09029,Burgos,PP
25,Los Ausines,1310,09030,Burgos,PP
26,Avellanosa de Muñó,1030,09032,Burgos,PSOE
27,Bahabón de Esgueva,800,09033,Burgos,PP
28,Los Balbases,3210,09034,Burgos,C's
29,Baños de Valdearados,3220,09035,Burgos,PP
30,Bañuelos de Bureba,310,09036,Burgos,Imagina
31,Barbadillo de Herreros,1120,09037,Burgos,AIBDH
32,Barbadillo del Mercado,1440,09038,Burgos,PSOE
33,Barbadillo del Pez,650,09039,Burgos,PP
34,Barrio de Muñó,320,09041,Burgos,PSOE
35,Los Barrios de Bureba,1860,09043,Burgos,GLB
36,Barrios de Colina,510,09044,Burgos,PP
37,Basconcillos del Tozo,2920,09045,Burgos,PP
38,Bascuñana,210,09046,Burgos,PP
39,Belbimbre,570,09047,Burgos,PP
40,Belorado,1754,09048,Burgos,VECINOS
41,Berberana,540,09050,Burgos,PCAS
42,Berlangas de Roa,1800,09051,Burgos,PP
43,Berzosa de Bureba,270,09052,Burgos,PP
44,Bozoó,1000,09054,Burgos,PP
45,Brazacorta,510,09055,Burgos,PSOE
46,Briviesca,6465,09056,Burgos,PSOE
47,Bugedo,1960,09057,Burgos,PP
48,Buniel,6050,09058,Burgos,C's
49,Burgos,174051,09059,Burgos,PSOE
50,Busto de Bureba,1380,09060,Burgos,PP
51,Cabañes de Esgueva,1660,09061,Burgos,PP
52,Cabezón de la Sierra,400,09062,Burgos,PSOE
53,Caleruega,4190,09064,Burgos,Cs
54,Campillo de Aranda,1690,09065,Burgos,PP
55,Campolara,560,09066,Burgos,VOX
56,Canicosa de la Sierra,4360,09067,Burgos,PP
57,Cantabrana,250,09068,Burgos,PSOE
58,Carazo,300,09070,Burgos,PP
59,Carcedo de Bureba,450,09071,Burgos,PP
60,Carcedo de Burgos,4480,09072,Burgos,PSOE
61,Cardeñadijo,1414,09073,Burgos,PSOE
62,Cardeñajimeno,1175,09074,Burgos,Agrupación de Electores Cardeñajimeno-San Medel. A.E.C.SM.
63,Cardeñuela Riopico,1090,09075,Burgos,Vox
64,Carrias,250,09076,Burgos,PSOE
65,Cascajares de Bureba,290,09077,Burgos,PP
66,Cascajares de la Sierra,320,09078,Burgos,PSOE
67,Castellanos de Castro,490,09079,Burgos,PP
68,Castil de Peones,250,09083,Burgos,PP
69,Castildelgado,330,09082,Burgos,PP
70,Castrillo de la Reina,1730,09084,Burgos,PP
71,Castrillo de la Vega,6480,09085,Burgos,PP
72,Castrillo de Riopisuerga,570,09088,Burgos,PP
73,Castrillo del Val,8140,09086,Burgos,PP
74,Castrillo Mota de Judíos,490,09090,Burgos,Cs
75,Castrojeriz,7580,09091,Burgos,PP
76,Cavia,2480,09063,Burgos,PP
77,Cayuela,1900,09093,Burgos,PP
78,Cebrecos,540,09094,Burgos,PP
79,Celada del Camino,1020,09095,Burgos,PP
80,Cerezo de Río Tirón,5320,09098,Burgos,PSOE
81,Cerratón de Juarros,520,09100,Burgos,PP
82,Ciadoncha,780,09101,Burgos,PP
83,Cillaperlata,350,09102,Burgos,PP
84,Cilleruelo de Abajo,2180,09103,Burgos,PSOE
85,Cilleruelo de Arriba,410,09104,Burgos,PP
86,Ciruelos de Cervera,1040,09105,Burgos,PP
87,Cogollos,5920,09108,Burgos,PP
88,Condado de Treviño,1416,09109,Burgos,PNV
89,Contreras,810,09110,Burgos,PP
90,Coruña del Conde,1050,09112,Burgos,PP
91,Covarrubias,5390,09113,Burgos,C's
92,Cubillo del Campo,1020,09114,Burgos,PP
93,Cubo de Bureba,1050,09115,Burgos,PP
94,La Cueva de Roa,1060,09117,Burgos,PSOE
95,Cuevas de San Clemente,420,09119,Burgos,PP
96,Encío,430,09120,Burgos,PP
97,Espinosa de Cervera,900,09122,Burgos,PP
98,Espinosa de los Monteros,1674,09124,Burgos,PP
99,Espinosa del Camino,460,09123,Burgos,PP
100,Estépar,6040,09125,Burgos,PSOE
101,Fontioso,500,09127,Burgos,PP
102,Frandovínez,970,09128,Burgos,PP
103,Fresneda de la Sierra Tirón,940,09129,Burgos,PSOE
104,Fresneña,690,09130,Burgos,PSOE
105,Fresnillo de las Dueñas,6950,09131,Burgos,PSOE
106,Fresno de Río Tirón,1780,09132,Burgos,PP
107,Fresno de Rodilla,460,09133,Burgos,PP
108,Frías,2700,09134,Burgos,PSOE
109,Fuentebureba,400,09135,Burgos,PSOE
110,Fuentecén,2230,09136,Burgos,PSOE
111,Fuentelcésped,2570,09137,Burgos,C's
112,Fuentelisendo,1060,09138,Burgos,PP
113,Fuentemolinos,990,09139,Burgos,PP
114,Fuentenebro,1500,09140,Burgos,PSOE
115,Fuentespina,7700,09141,Burgos,PSOE
116,Galbarros,300,09143,Burgos,PP
117,La Gallega,440,09144,Burgos,PP
118,Grijalba,1110,09148,Burgos,PSOE
119,Grisaleña,650,09149,Burgos,Cs
120,Gumiel de Izán,5560,09151,Burgos,PP
121,Gumiel de Mercado,3740,09152,Burgos,PP
122,Hacinas,1510,09154,Burgos,PP
123,Haza,280,09155,Burgos,Cs
124,Hontanas,720,09159,Burgos,PP
125,Hontangas,910,09160,Burgos,C's
126,Hontoria de la Cantera,1530,09162,Burgos,Agrupación de Electores Independientes
127,Hontoria de Valdearados,1690,09164,Burgos,PP
128,Hontoria del Pinar,6440,09163,Burgos,PSOE
129,Las Hormazas,980,09166,Burgos,PP
130,Hornillos del Camino,560,09167,Burgos,UPyD
131,La Horra,3120,09168,Burgos,PSOE
132,Hortigüela,1000,09169,Burgos,PP
133,Hoyales de Roa,2260,09170,Burgos,PP
134,Huérmeces,1640,09172,Burgos,PSOE
135,Huerta de Arriba,1280,09173,Burgos,PP
136,Huerta de Rey,9080,09174,Burgos,IH
137,Humada,1230,09175,Burgos,PP
138,Hurones,570,09176,Burgos,PP
139,Ibeas de Juarros,1438,09177,Burgos,PP
140,Ibrillos,370,09178,Burgos,PSOE
141,Iglesiarrubia,430,09179,Burgos,PP
142,Iglesias,1460,09180,Burgos,PP
143,Isar,2910,09181,Burgos,PSOE
144,Itero del Castillo,820,09182,Burgos,PP
145,Jaramillo de la Fuente,420,09183,Burgos,PP
146,Jaramillo Quemado,100,09184,Burgos,PP
147,Junta de Traslaloma,1230,09189,Burgos,PP
148,Junta de Villalba de Losa,870,09190,Burgos,PP
149,Jurisdicción de Lara,310,09191,Burgos,PSOE
150,Jurisdicción de San Zadornil,620,09192,Burgos,PP
151,Lerma,2609,09194,Burgos,PP
152,Llano de Bureba,530,09195,Burgos,PP
153,Madrigal del Monte,1550,09196,Burgos,PSOE
154,Madrigalejo del Monte,1790,09197,Burgos,PP
155,Mahamud,1110,09198,Burgos,C's
156,Mambrilla de Castrejón,1040,09199,Burgos,PP
157,Mambrillas de Lara,460,09200,Burgos,PSOE
158,Mamolar,270,09201,Burgos,PP
159,Manciles,220,09202,Burgos,PP
160,Mazuela,590,09206,Burgos,PP
161,Mecerreyes,1960,09208,Burgos,PP
162,Medina de Pomar,5834,09209,Burgos,PSOE
163,Melgar de Fernamental,1553,09211,Burgos,PCAS-TC
164,Merindad de Cuesta-Urria,2840,09213,Burgos,PP
165,Merindad de Montija,7300,09214,Burgos,PP
166,Merindad de Río Ubierna,1436,09906,Burgos,PP
167,Merindad de Sotoscueva,4090,09215,Burgos,PP
168,Merindad de Valdeporres,4310,09216,Burgos,PP
169,Merindad de Valdivielso,3860,09217,Burgos,Juntos por Valdivielso
170,Milagros,4380,09218,Burgos,PSOE
171,Miranda de Ebro,35528,09219,Burgos,PSOE
172,Miraveche,850,09220,Burgos,PP
173,Modúbar de la Emparedada,7680,09221,Burgos,PP
174,Monasterio de la Sierra,400,09223,Burgos,Imagina Burgos
175,Monasterio de Rodilla,1640,09224,Burgos,PP
176,Moncalvillo,830,09225,Burgos,Vox
177,Monterrubio de la Demanda,580,09226,Burgos,PSOE
178,Montorio,1520,09227,Burgos,PP
179,Moradillo de Roa,1630,09228,Burgos,PP
180,Nava de Roa,2060,09229,Burgos,PP
181,Navas de Bureba,310,09230,Burgos,PP
182,Nebreda,510,09231,Burgos,C's
183,Neila,1440,09232,Burgos,PP
184,Olmedillo de Roa,1900,09235,Burgos,PP
185,Olmillos de Muñó,360,09236,Burgos,PP
186,Oña,1008,09238,Burgos,PSOE
187,Oquillas,480,09239,Burgos,PP
188,Orbaneja Riopico,3550,09241,Burgos,IU CyL
189,Padilla de Abajo,750,09242,Burgos,PSOE
190,Padilla de Arriba,860,09243,Burgos,PP
191,Padrones de Bureba,450,09244,Burgos,PSOE
192,Palacios de la Sierra,7020,09246,Burgos,Agrupación Palanciana Independiente
193,Palacios de Riopisuerga,220,09247,Burgos,PP
194,Palazuelos de la Sierra,870,09248,Burgos,PP
195,Palazuelos de Muñó,530,09249,Burgos,PSOE
196,Pampliega,2870,09250,Burgos,PP
197,Pancorbo,4230,09251,Burgos,C's
198,Pardilla,1150,09253,Burgos,PP
199,Partido de la Sierra en Tobalina,840,09255,Burgos,PP
200,Pedrosa de Duero,4850,09256,Burgos,PP
201,Pedrosa de Río Úrbel,2520,09259,Burgos,PP
202,Pedrosa del Páramo,840,09257,Burgos,PP
203,Pedrosa del Príncipe,1650,09258,Burgos,PP
204,Peñaranda de Duero,5110,09261,Burgos,PP
205,Peral de Arlanza,1750,09262,Burgos,PP
206,Piérnigas,370,09265,Burgos,PP
207,Pineda de la Sierra,990,09266,Burgos,PP
208,Pineda Trasmonte,1170,09267,Burgos,PP
209,Pinilla de los Barruecos,990,09268,Burgos,PP
210,Pinilla de los Moros,400,09269,Burgos,PP
211,Pinilla Trasmonte,1650,09270,Burgos,C's
212,Poza de la Sal,2940,09272,Burgos,PSOE
213,Prádanos de Bureba,560,09273,Burgos,PP
214,Pradoluengo,112,09274,Burgos,PSOE
215,Presencio,1900,09275,Burgos,PP
216,La Puebla de Arganzón,5130,09276,Burgos,EH Bildu
217,Puentedura,1200,09277,Burgos,PSOE
218,Quemada,2550,09279,Burgos,PP
219,Quintana del Pidio,1570,09281,Burgos,PP
220,Quintanabureba,300,09280,Burgos,PP
221,Quintanaélez,430,09283,Burgos,PP
222,Quintanaortuño,2740,09287,Burgos,PSOE
223,Quintanapalla,1170,09288,Burgos,PP
224,Quintanar de la Sierra,1596,09289,Burgos,PP
225,Quintanavides,740,09292,Burgos,PSOE
226,Quintanilla de la Mata,1170,09294,Burgos,PP
227,Quintanilla del Agua y Tordueles,3570,09901,Burgos,Cs
228,Quintanilla del Coco,500,09295,Burgos,PP
229,Quintanilla San García,790,09298,Burgos,PP
230,Quintanilla Vivar,8720,09301,Burgos,PP
231,Las Quintanillas,3790,09297,Burgos,C's
232,Rabanera del Pinar,980,09302,Burgos,PCAS
233,Rábanos,820,09303,Burgos,PP
234,Rabé de las Calzadas,2320,09304,Burgos,Cs
235,Rebolledo de la Torre,950,09306,Burgos,PP
236,Redecilla del Camino,1040,09307,Burgos,PR
237,Redecilla del Campo,630,09308,Burgos,PSOE
238,Regumiel de la Sierra,3360,09309,Burgos,PP
239,Reinoso,150,09310,Burgos,AIRE
240,Retuerta,660,09311,Burgos,PSOE
241,Revilla del Campo,1060,09314,Burgos,PSOE
242,Revilla Vallejera,1010,09316,Burgos,PP
243,La Revilla y Ahedo,1020,09312,Burgos,PP
244,Revillarruz,5640,09315,Burgos,PCAS-TC
245,Rezmondo,210,09317,Burgos,PP
246,Riocavado de la Sierra,570,09318,Burgos,PP
247,Roa,2196,09321,Burgos,PP
248,Rojas,640,09323,Burgos,AER
249,Royuela de Río Franco,1770,09325,Burgos,PP
250,Rubena,1930,09326,Burgos,PP
251,Rublacedo de Abajo,290,09327,Burgos,PP
252,Rucandio,640,09328,Burgos,PSOE
253,Salas de Bureba,1350,09329,Burgos,PSOE
254,Salas de los Infantes,198,09330,Burgos,PP
255,Saldaña de Burgos,1890,09332,Burgos,C's
256,Salinillas de Bureba,510,09334,Burgos,PSOE
257,San Adrián de Juarros,940,09335,Burgos,PP
258,San Juan del Monte,1560,09337,Burgos,PP
259,San Mamés de Burgos,3180,09338,Burgos,C's
260,San Martín de Rubiales,1510,09339,Burgos,A.G.E.I.S.M.R.
261,San Millán de Lara,690,09340,Burgos,PP
262,San Vicente del Valle,270,09360,Burgos,PP
263,Santa Cecilia,1000,09343,Burgos,PP
264,Santa Cruz de la Salceda,1320,09345,Burgos,PP
265,Santa Cruz del Valle Urbión,1010,09346,Burgos,PP
266,Santa Gadea del Cid,1520,09347,Burgos,C's
267,Santa Inés,1470,09348,Burgos,PP
268,Santa María del Campo,5180,09350,Burgos,AEI
269,Santa María del Invierno,660,09351,Burgos,PP
270,Santa María del Mercadillo,1040,09352,Burgos,PP
271,Santa María Rivarredonda,950,09353,Burgos,C's
272,Santa Olalla de Bureba,350,09354,Burgos,IMC
273,Santibáñez de Esgueva,850,09355,Burgos,PP
274,Santibáñez del Val,540,09356,Burgos,PP
275,Santo Domingo de Silos,2620,09358,Burgos,PP
276,Sargentes de la Lora,1150,09361,Burgos,PP
277,Sarracín,2570,09362,Burgos,PP
278,Sasamón,9630,09363,Burgos,Cs
279,La Sequera de Haza,250,09365,Burgos,PSOE
280,Solarana,730,09366,Burgos,C's
281,Sordillos,280,09368,Burgos,PP
282,Sotillo de la Ribera,4690,09369,Burgos,PSYP
283,Sotragero,2890,09372,Burgos,PSOE
284,Sotresgudo,4450,09373,Burgos,PP
285,Susinos del Páramo,1130,09374,Burgos,PSOE
286,Tamarón,410,09375,Burgos,C's
287,Tardajos,8000,09377,Burgos,C's
288,Tejada,340,09378,Burgos,PP
289,Terradillos de Esgueva,730,09380,Burgos,PP
290,Tinieblas de la Sierra,280,09381,Burgos,PP
291,Tobar,220,09382,Burgos,PP
292,Tordómar,3290,09384,Burgos,PP
293,Torrecilla del Monte,730,09386,Burgos,PP
294,Torregalindo,1200,09387,Burgos,C's
295,Torrelara,330,09388,Burgos,PSOE
296,Torrepadre,760,09389,Burgos,PSOE
297,Torresandino,5910,09390,Burgos,C's
298,Tórtoles de Esgueva,3970,09391,Burgos,Cs
299,Tosantos,560,09392,Burgos,PSOE
300,Trespaderne,7570,09394,Burgos,Iniciativa Merindades de Castilla
301,Tubilla del Agua,1420,09395,Burgos,PP
302,Tubilla del Lago,1670,09396,Burgos,PP
303,Úrbel del Castillo,680,09398,Burgos,PP
304,Vadocondes,3550,09400,Burgos,PSOE
305,Valdeande,990,09403,Burgos,PP
306,Valdezate,1240,09405,Burgos,PP
307,Valdorros,3420,09406,Burgos,PSOE
308,Vallarta de Bureba,450,09408,Burgos,PP
309,Valle de las Navas,5300,09904,Burgos,PSOE
310,Valle de Losa,4880,09908,Burgos,PP
311,Valle de Manzanedo,1320,09409,Burgos,PSOE
312,Valle de Mena,3987,09410,Burgos,PSOE
313,Valle de Oca,1690,09411,Burgos,PSOE
314,Valle de Santibáñez,4820,09902,Burgos,PP
315,Valle de Sedano,4090,09905,Burgos,Imagina Burgos
316,Valle de Tobalina,9010,09412,Burgos,PP
317,Valle de Valdebezana,4560,09413,Burgos,Cs
318,Valle de Valdelaguna,1940,09414,Burgos,PP
319,Valle de Valdelucio,3390,09415,Burgos,C's
320,Valle de Zamanzas,500,09416,Burgos,PSOE
321,Vallejera,400,09417,Burgos,PP
322,Valles de Palenzuela,810,09418,Burgos,PSOE
323,Valluércanes,670,09419,Burgos,PP
324,Valmala,240,09407,Burgos,PP
325,La Vid de Bureba,190,09422,Burgos,PP
326,La Vid y Barrios,2760,09421,Burgos,PSOE
327,Vileña,260,09423,Burgos,PP
328,Villadiego,1484,09427,Burgos,PP
329,Villaescusa de Roa,970,09428,Burgos,PP
330,Villaescusa la Sombría,570,09429,Burgos,PP
331,Villaespasa,270,09430,Burgos,PP
332,Villafranca Montes de Oca,1150,09431,Burgos,PSOE
333,Villafruela,1680,09432,Burgos,PSOE
334,Villagalijo,580,09433,Burgos,VIDV
335,Villagonzalo Pedernales,1853,09434,Burgos,PSOE
336,Villahoz,2910,09437,Burgos,PP
337,Villalba de Duero,7070,09438,Burgos,PP
338,Villalbilla de Burgos,1454,09439,Burgos,PP
339,Villalbilla de Gumiel,860,09440,Burgos,PP
340,Villaldemiro,990,09441,Burgos,PP
341,Villalmanzo,4150,09442,Burgos,PSOE
342,Villamayor de los Montes,1550,09443,Burgos,PSOE
343,Villamayor de Treviño,640,09444,Burgos,PP
344,Villambistia,440,09445,Burgos,PSOE
345,Villamedianilla,100,09446,Burgos,PP
346,Villamiel de la Sierra,440,09447,Burgos,PSOE
347,Villangómez,2250,09448,Burgos,PSOE
348,Villanueva de Argaño,1140,09449,Burgos,C's
349,Villanueva de Carazo,240,09450,Burgos,PP
350,Villanueva de Gumiel,2740,09451,Burgos,PSOE
351,Villanueva de Teba,390,09454,Burgos,PSOE
352,Villaquirán de la Puebla,480,09455,Burgos,C's
353,Villaquirán de los Infantes,1510,09456,Burgos,PP
354,Villarcayo de Merindad de Castilla la Vieja,4029,09903,Burgos,Iniciativa Merindades
355,Villariezo,6900,09458,Burgos,PP
356,Villasandino,1760,09460,Burgos,PP
357,Villasur de Herreros,2580,09463,Burgos,PSOE
358,Villatuelda,420,09464,Burgos,PP
359,Villaverde del Monte,1220,09466,Burgos,PSOE
360,Villaverde-Mogina,740,09467,Burgos,PSOE
361,Villayerno Morquillas,2090,09471,Burgos,PP
362,Villazopeque,520,09472,Burgos,PSOE
363,Villegas,900,09473,Burgos,PP
364,Villoruebo,680,09476,Burgos,PSOE
365,Viloria de Rioja,380,09424,Burgos,PP
366,Vilviestre del Pinar,5320,09425,Burgos,PP
367,Vizcaínos,460,09478,Burgos,PP
368,Zael,1170,09480,Burgos,PP
369,Zarzosa de Río Pisuerga,340,09482,Burgos,PP
370,Zazuar,2070,09483,Burgos,PP
371,Zuñeda,560,09485,Burgos,PP
