1,Abusejo,1660,37001,Salamanca,PP
2,Agallas,1280,37002,Salamanca,PP
3,Ahigal de los Aceiteros,1140,37003,Salamanca,PP
4,Ahigal de Villarino,240,37004,Salamanca,PP
5,La Alameda de Gardón,670,37005,Salamanca,PP
6,La Alamedilla,1210,37006,Salamanca,PP
7,Alaraz,4290,37007,Salamanca,Cs
8,Alba de Tormes,5159,37008,Salamanca,PP
9,Alba de Yeltes,2160,37009,Salamanca,PP
10,La Alberca,1065,37010,Salamanca,PSOE
11,La Alberguería de Argañán,1070,37011,Salamanca,Cs
12,Alconada,1440,37012,Salamanca,PP
13,Aldea del Obispo,2520,37015,Salamanca,PSOE
14,Aldeacipreste,1000,37013,Salamanca,PSOE
15,Aldeadávila de la Ribera,1181,37014,Salamanca,PSOE
16,Aldealengua,6730,37016,Salamanca,PP
17,Aldeanueva de Figueroa,2440,37017,Salamanca,PP
18,Aldeanueva de la Sierra,1100,37018,Salamanca,PSOE
19,Aldearrodrigo,1470,37019,Salamanca,PP
20,Aldearrubia,5190,37020,Salamanca,PP
21,Aldeaseca de Alba,730,37021,Salamanca,PP
22,Aldeaseca de la Frontera,2530,37022,Salamanca,PP
23,Aldeatejada,2307,37023,Salamanca,PP
24,Aldeavieja de Tormes,1000,37024,Salamanca,PSOE
25,Aldehuela de la Bóveda,2790,37025,Salamanca,PSOE
26,Aldehuela de Yeltes,1930,37026,Salamanca,PSOE
27,Almenara de Tormes,2890,37027,Salamanca,PP
28,Almendra,1400,37028,Salamanca,PP
29,Anaya de Alba,1880,37029,Salamanca,PSOE
30,Añover de Tormes,910,37030,Salamanca,Cs
31,Arabayona de Mógica,3390,37031,Salamanca,PSOE
32,Arapiles,6690,37032,Salamanca,PSOE
33,Arcediano,960,37033,Salamanca,PP
34,El Arco,930,37034,Salamanca,PSOE
35,Armenteros,1920,37035,Salamanca,PSOE
36,La Atalaya,1080,37037,Salamanca,Cs
37,Babilafuente,9320,37038,Salamanca,PSOE
38,Bañobárez,2870,37039,Salamanca,PP
39,Barbadillo,4020,37040,Salamanca,PP
40,Barbalos,740,37041,Salamanca,PP
41,Barceo,440,37042,Salamanca,PP
42,Barruecopardo,4430,37044,Salamanca,PP
43,La Bastida,320,37045,Salamanca,PSOE
44,Béjar,12269,37046,Salamanca,PSOE
45,Beleña,2270,37047,Salamanca,PP
46,Bermellar,1330,37049,Salamanca,PSOE
47,Berrocal de Huebra,790,37050,Salamanca,PP
48,Berrocal de Salvatierra,830,37051,Salamanca,PP
49,Boada,2990,37052,Salamanca,PSOE
50,El Bodón,2560,37054,Salamanca,PSOE
51,Bogajo,1340,37055,Salamanca,PP
52,La Bouza,550,37056,Salamanca,PP
53,Bóveda del Río Almar,2210,37057,Salamanca,PP
54,Brincones,530,37058,Salamanca,PSOE
55,Buenamadre,1190,37059,Salamanca,PP
56,Buenavista,3650,37060,Salamanca,PP
57,El Cabaco,2230,37061,Salamanca,PP
58,La Cabeza de Béjar,600,37063,Salamanca,PP
59,Cabeza del Caballo,2570,37065,Salamanca,PP
60,Cabezabellosa de la Calzada,750,37062,Salamanca,PP
61,Cabrerizos,4284,37067,Salamanca,PP
62,Cabrillas,3550,37068,Salamanca,PP
63,Calvarrasa de Abajo,1169,37069,Salamanca,PP
64,Calvarrasa de Arriba,5940,37070,Salamanca,PSOE
65,La Calzada de Béjar,910,37071,Salamanca,PSOE
66,Calzada de Don Diego,1480,37072,Salamanca,PP
67,Calzada de Valdunciel,6980,37073,Salamanca,PP
68,Campillo de Azaba,1550,37074,Salamanca,PP
69,El Campo de Peñaranda,2490,37077,Salamanca,PSOE
70,Candelario,8740,37078,Salamanca,PSOE
71,Canillas de Abajo,800,37079,Salamanca,PP
72,Cantagallo,2670,37080,Salamanca,PP
73,Cantalapiedra,9230,37081,Salamanca,PSOE
74,Cantalpino,8210,37082,Salamanca,PP
75,Cantaracillo,1970,37083,Salamanca,PP
76,Carbajosa de la Sagrada,7368,37085,Salamanca,PP
77,Carpio de Azaba,1160,37086,Salamanca,PP
78,Carrascal de Barregas,1295,37087,Salamanca,PP
79,Carrascal del Obispo,1940,37088,Salamanca,PP
80,Casafranca,610,37089,Salamanca,PP
81,Las Casas del Conde,640,37090,Salamanca,PSOE
82,Casillas de Flores,1910,37091,Salamanca,PP
83,Castellanos de Moriscos,2809,37092,Salamanca,PP
84,Castellanos de Villiquera,6530,37185,Salamanca,PP
85,Castillejo de Martín Viejo,2110,37096,Salamanca,PP
86,Castraz,380,37097,Salamanca,PP
87,Cepeda,2930,37098,Salamanca,PP
88,Cereceda de la Sierra,670,37099,Salamanca,PSOE
89,Cerezal de Peñahorcada,640,37100,Salamanca,Cs
90,Cerralbo,1310,37101,Salamanca,PP
91,El Cerro,3970,37102,Salamanca,PSOE
92,Cespedosa de Tormes,5180,37103,Salamanca,PP
93,Chagarcía Medianero,640,37114,Salamanca,PP
94,Cilleros de la Bastida,210,37104,Salamanca,PSOE
95,Cipérez,2550,37106,Salamanca,PP
96,Ciudad Rodrigo,12065,37107,Salamanca,PP
97,Coca de Alba,1060,37108,Salamanca,PP
98,Colmenar de Montemayor,1770,37109,Salamanca,PP
99,Cordovilla,1120,37110,Salamanca,PP
100,Cristóbal,1590,37112,Salamanca,PSOE
101,El Cubo de Don Sancho,4270,37113,Salamanca,PP
102,Dios le Guarde,1170,37115,Salamanca,Cs
103,Doñinos de Ledesma,630,37116,Salamanca,PSOE
104,Doñinos de Salamanca,2214,37117,Salamanca,Cs
105,Éjeme,1290,37118,Salamanca,PP
106,Encina de San Silvestre,1140,37120,Salamanca,PP
107,La Encina,1040,37119,Salamanca,PSOE
108,Encinas de Abajo,6170,37121,Salamanca,PP
109,Encinas de Arriba,2400,37122,Salamanca,PP
110,Encinasola de los Comendadores,1570,37123,Salamanca,PP
111,Endrinal,2100,37124,Salamanca,PP
112,Escurial de la Sierra,2410,37125,Salamanca,PP
113,Espadaña,380,37126,Salamanca,PP
114,Espeja,2200,37127,Salamanca,PP
115,Espino de la Orbada,2520,37128,Salamanca,PSOE
116,Florida de Liébana,2540,37129,Salamanca,PSOE
117,Forfoleda,1980,37130,Salamanca,PP
118,Frades de la Sierra,1820,37131,Salamanca,PSOE
119,La Fregeneda,3150,37132,Salamanca,PP
120,Fresnedoso,1010,37133,Salamanca,PP
121,Fresno Alhándiga,1960,37134,Salamanca,PSOE
122,La Fuente de San Esteban,127,37135,Salamanca,PP
123,Fuenteguinaldo,6740,37136,Salamanca,Cs
124,Fuenteliante,970,37137,Salamanca,PP
125,Fuenterroble de Salvatierra,2640,37138,Salamanca,PSOE
126,Fuentes de Béjar,2160,37139,Salamanca,PSOE
127,Fuentes de Oñoro,1119,37140,Salamanca,PP
128,Gajates,1520,37141,Salamanca,PSOE
129,Galindo y Perahuy,6450,37142,Salamanca,Agrupación de Electores Independiente de Galindo y Perahuy-La Rad
130,Galinduste,4140,37143,Salamanca,PSOE
131,Galisancho,3530,37144,Salamanca,PP
132,Gallegos de Argañán,2680,37145,Salamanca,PP
133,Gallegos de Solmirón,1150,37146,Salamanca,PP
134,Garcibuey,1890,37147,Salamanca,PP
135,Garcihernández,4270,37148,Salamanca,PP
136,Garcirrey,580,37149,Salamanca,PP
137,Gejuelo del Barro,340,37150,Salamanca,PP
138,Golpejas,1460,37151,Salamanca,PP
139,Gomecello,4320,37152,Salamanca,PP
140,Guadramiro,1330,37154,Salamanca,PP
141,Guijo de Ávila,710,37155,Salamanca,PSOE
142,Guijuelo,555,37156,Salamanca,PP
143,Herguijuela de Ciudad Rodrigo,680,37157,Salamanca,PSOE
144,Herguijuela de la Sierra,2410,37158,Salamanca,PP
145,Herguijuela del Campo,690,37159,Salamanca,Cs
146,Hinojosa de Duero,6160,37160,Salamanca,PSOE
147,Horcajo de Montemayor,1330,37161,Salamanca,PP
148,Horcajo Medianero,2230,37162,Salamanca,PSOE
149,La Hoya,290,37163,Salamanca,PP
150,Huerta,2870,37164,Salamanca,PSOE
151,Iruelos,310,37165,Salamanca,PP
152,Ituero de Azaba,2040,37166,Salamanca,PP
153,Juzbado,1990,37167,Salamanca,PSOE
154,Lagunilla,4470,37168,Salamanca,PP
155,Larrodrigo,1850,37169,Salamanca,PP
156,Ledesma,1553,37170,Salamanca,PSOE
157,Ledrada,4660,37171,Salamanca,PP
158,Linares de Riofrío,9380,37172,Salamanca,PP
159,Lumbrales,155,37173,Salamanca,Cs
160,Machacón,4460,37175,Salamanca,PP
161,Macotera,1001,37174,Salamanca,PSOE
162,Madroñal,1360,37176,Salamanca,PP
163,El Maíllo,2710,37177,Salamanca,Cs
164,Malpartida,960,37178,Salamanca,PP
165,Mancera de Abajo,2120,37179,Salamanca,PP
166,El Manzano,650,37180,Salamanca,PSOE
167,Martiago,2540,37181,Salamanca,PP
168,Martín de Yeltes,4080,37183,Salamanca,PSOE
169,Martinamor,810,37182,Salamanca,PP
170,Masueco,2740,37184,Salamanca,PP
171,La Mata de Ledesma,850,37186,Salamanca,PP
172,Matilla de los Caños del Río,6390,37187,Salamanca,PP
173,La Maya,1670,37188,Salamanca,PP
174,Membribe de la Sierra,1110,37189,Salamanca,PP
175,Mieza,1890,37190,Salamanca,PP
176,El Milano,990,37191,Salamanca,PP
177,Miranda de Azán,4490,37192,Salamanca,IU
178,Miranda del Castañar,3820,37193,Salamanca,PSOE
179,Mogarraz,2600,37194,Salamanca,PSOE
180,Molinillo,420,37195,Salamanca,PSOE
181,Monforte de la Sierra,610,37196,Salamanca,PSOE
182,Monleón,960,37197,Salamanca,PP
183,Monleras,2260,37198,Salamanca,PSOE
184,Monsagro,1350,37199,Salamanca,PSOE
185,Montejo,2070,37200,Salamanca,PP
186,Montemayor del Río,2670,37201,Salamanca,PP
187,Monterrubio de Armuña,1319,37202,Salamanca,PSOE
188,Monterrubio de la Sierra,1540,37203,Salamanca,PSOE
189,Morasverdes,2450,37204,Salamanca,PSOE
190,Morille,2270,37205,Salamanca,PSOE
191,Moríñigo,960,37206,Salamanca,PP
192,Moriscos,4870,37207,Salamanca,PP
193,Moronta,750,37208,Salamanca,PP
194,Mozárbez,5070,37209,Salamanca,PSOE
195,Narros de Matalayegua,2100,37211,Salamanca,PP
196,Nava de Béjar,860,37213,Salamanca,PP
197,Nava de Francia,1180,37214,Salamanca,PSOE
198,Nava de Sotrobal,1630,37215,Salamanca,PP
199,Navacarros,1210,37212,Salamanca,PP
200,Navales,3170,37216,Salamanca,PP
201,Navalmoral de Béjar,580,37217,Salamanca,INB
202,Navamorales,470,37218,Salamanca,PP
203,Navarredonda de la Rinconada,1650,37219,Salamanca,PSOE
204,Navasfrías,4080,37221,Salamanca,PP
205,Negrilla de Palencia,810,37222,Salamanca,Cs
206,Olmedo de Camaces,1030,37223,Salamanca,PP
207,La Orbada,1900,37224,Salamanca,PP
208,Pajares de la Laguna,1040,37225,Salamanca,PP
209,Palacios del Arzobispo,1750,37226,Salamanca,PP
210,Palaciosrubios,3290,37228,Salamanca,Cs
211,Palencia de Negrilla,1510,37229,Salamanca,PP
212,Parada de Arriba,2550,37230,Salamanca,PSOE
213,Parada de Rubiales,2570,37231,Salamanca,PP
214,Paradinas de San Juan,3880,37232,Salamanca,PP
215,Pastores,510,37233,Salamanca,PP
216,El Payo,3130,37234,Salamanca,PSOE
217,Pedraza de Alba,2220,37235,Salamanca,Cs
218,Pedrosillo de Alba,1250,37236,Salamanca,PP
219,Pedrosillo de los Aires,3230,37237,Salamanca,PSOE
220,Pedrosillo el Ralo,1220,37238,Salamanca,PSOE
221,El Pedroso de la Armuña,2170,37239,Salamanca,PSOE
222,Pelabravo,1225,37240,Salamanca,PP
223,Pelarrodríguez,1730,37241,Salamanca,PP
224,Pelayos,800,37242,Salamanca,PP
225,La Peña,870,37243,Salamanca,PP
226,Peñacaballera,1380,37244,Salamanca,PP
227,Peñaparda,3390,37245,Salamanca,PP
228,Peñaranda de Bracamonte,6123,37246,Salamanca,PSOE
229,Peñarandilla,1750,37247,Salamanca,PP
230,Peralejos de Abajo,1700,37248,Salamanca,PP
231,Peralejos de Arriba,370,37249,Salamanca,PP
232,Pereña de la Ribera,3270,37250,Salamanca,PSOE
233,Peromingo,1250,37251,Salamanca,PP
234,Pinedas,1040,37252,Salamanca,PP
235,El Pino de Tormes,1580,37253,Salamanca,PP
236,Pitiegua,1860,37254,Salamanca,PP
237,Pizarral,540,37255,Salamanca,PP
238,Poveda de las Cintas,2030,37256,Salamanca,Cs
239,Pozos de Hinojo,530,37257,Salamanca,PP
240,Puebla de Azaba,1400,37258,Salamanca,PP
241,Puebla de San Medel,370,37259,Salamanca,PP
242,Puebla de Yeltes,1470,37260,Salamanca,PSOE
243,Puente del Congosto,2180,37261,Salamanca,PP
244,Puertas,730,37262,Salamanca,PP
245,Puerto de Béjar,3700,37263,Salamanca,PSOE
246,Puerto Seguro,580,37264,Salamanca,PP
247,Rágama,2100,37265,Salamanca,PSOE
248,La Redonda,660,37266,Salamanca,PSOE
249,Retortillo,1820,37267,Salamanca,PP
250,La Rinconada de la Sierra,1040,37268,Salamanca,PP
251,Robleda,4700,37269,Salamanca,PSOE
252,Robliza de Cojos,1980,37270,Salamanca,PSOE
253,Rollán,3520,37271,Salamanca,PSOE
254,Saelices el Chico,1590,37272,Salamanca,PSOE
255,La Sagrada,890,37273,Salamanca,PP
256,El Sahugo,1860,37303,Salamanca,PP
257,Salamanca,143269,37274,Salamanca,PP
258,Saldeana,980,37275,Salamanca,PSOE
259,Salmoral,1240,37276,Salamanca,PP
260,Salvatierra de Tormes,760,37277,Salamanca,PP
261,San Cristóbal de la Cuesta,1029,37278,Salamanca,Cs
262,San Esteban de la Sierra,3570,37284,Salamanca,PP
263,San Felices de los Gallegos,3670,37285,Salamanca,PP
264,San Martín del Castañar,2280,37286,Salamanca,PSOE
265,San Miguel de Valero,3320,37287,Salamanca,PP
266,San Miguel del Robledo,540,37036,Salamanca,PP
267,San Morales,3320,37288,Salamanca,PP
268,San Muñoz,2090,37289,Salamanca,Cs
269,San Pedro de Rozados,2760,37291,Salamanca,PP
270,San Pedro del Valle,1320,37290,Salamanca,PP
271,San Pelayo de Guareña,960,37292,Salamanca,PP
272,Sanchón de la Ribera,790,37280,Salamanca,PP
273,Sanchón de la Sagrada,380,37281,Salamanca,PSOE
274,Sanchotello,2310,37282,Salamanca,PSOE
275,Sancti-Spíritus,7750,37279,Salamanca,PP
276,Sando,1160,37283,Salamanca,PP
277,Santa María de Sando,1000,37293,Salamanca,PP
278,Santa Marta de Tormes,14646,37294,Salamanca,PP
279,Santiago de la Puebla,2970,37296,Salamanca,PSOE
280,Santibáñez de Béjar,4620,37297,Salamanca,PP
281,Santibáñez de la Sierra,1780,37298,Salamanca,PSOE
282,Santiz,2530,37299,Salamanca,PP
283,Los Santos,5950,37300,Salamanca,PP
284,Sardón de los Frailes,990,37301,Salamanca,PSOE
285,Saucelle,2750,37302,Salamanca,PP
286,Sepulcro-Hilario,1570,37304,Salamanca,PP
287,Sequeros,2400,37305,Salamanca,PP
288,Serradilla del Arroyo,2480,37306,Salamanca,PSOE
289,Serradilla del Llano,1470,37307,Salamanca,PP
290,La Sierpe,410,37309,Salamanca,PP
291,Sieteiglesias de Tormes,1840,37310,Salamanca,PSOE
292,Sobradillo,1960,37311,Salamanca,PP
293,Sorihuela,2580,37312,Salamanca,PP
294,Sotoserrano,5530,37313,Salamanca,PP
295,Tabera de Abajo,1090,37314,Salamanca,PP
296,La Tala,800,37315,Salamanca,PP
297,Tamames,7830,37316,Salamanca,PP
298,Tarazona de Guareña,2880,37317,Salamanca,PP
299,Tardáguila,1960,37318,Salamanca,PP
300,El Tejado,820,37319,Salamanca,PP
301,Tejeda y Segoyuela,900,37320,Salamanca,PP
302,Tenebrón,1350,37321,Salamanca,PP
303,Terradillos,3096,37322,Salamanca,IU
304,Topas,5340,37323,Salamanca,PSOE
305,Tordillos,3280,37324,Salamanca,PP
306,El Tornadizo,920,37325,Salamanca,PP
307,Torresmenudas,2010,37327,Salamanca,PP
308,Trabanca,1740,37328,Salamanca,PP
309,Tremedal de Tormes,370,37329,Salamanca,PP
310,Valdecarros,3280,37330,Salamanca,PSOE
311,Valdefuentes de Sangusín,1880,37331,Salamanca,PP
312,Valdehijaderos,730,37332,Salamanca,PP
313,Valdelacasa,2110,37333,Salamanca,PP
314,Valdelageve,650,37334,Salamanca,PP
315,Valdelosa,4040,37335,Salamanca,PP
316,Valdemierque,640,37336,Salamanca,PSOE
317,Valderrodrigo,1360,37337,Salamanca,PP
318,Valdunciel,1030,37338,Salamanca,PP
319,Valero,3020,37339,Salamanca,PP
320,Vallejera de Riofrío,690,37343,Salamanca,IV
321,Valsalabroso,1330,37340,Salamanca,PP
322,Valverde de Valdelacasa,660,37341,Salamanca,PP
323,Valverdón,2770,37342,Salamanca,PP
324,Vecinos,2390,37344,Salamanca,PP
325,Vega de Tirados,1590,37345,Salamanca,PSOE
326,Las Veguillas,2840,37346,Salamanca,PP
327,La Vellés,5140,37347,Salamanca,IU
328,Ventosa del Río Almar,1010,37348,Salamanca,PP
329,La Vídola,1070,37349,Salamanca,PP
330,Villaflores,2600,37351,Salamanca,PP
331,Villagonzalo de Tormes,2370,37352,Salamanca,PP
332,Villalba de los Llanos,1170,37353,Salamanca,PP
333,Villamayor,7371,37354,Salamanca,PP
334,Villanueva del Conde,1710,37355,Salamanca,PP
335,Villar de Argañán,910,37356,Salamanca,PP
336,Villar de Ciervo,2600,37357,Salamanca,PP
337,Villar de Gallimazo,2100,37358,Salamanca,PP
338,Villar de la Yegua,1620,37359,Salamanca,PP
339,Villar de Peralonso,2120,37360,Salamanca,PP
340,Villar de Samaniego,870,37361,Salamanca,PP
341,Villares de la Reina,6491,37362,Salamanca,Cs
342,Villares de Yeltes,1110,37363,Salamanca,PP
343,Villarino de los Aires,7890,37364,Salamanca,PP
344,Villarmayor,1730,37365,Salamanca,PP
345,Villarmuerto,420,37366,Salamanca,PP
346,Villasbuenas,1810,37367,Salamanca,PP
347,Villasdardo,240,37368,Salamanca,VTV
348,Villaseco de los Gamitos,1340,37369,Salamanca,PSOE
349,Villaseco de los Reyes,3140,37370,Salamanca,PP
350,Villasrubias,2510,37371,Salamanca,PP
351,Villaverde de Guareña,1390,37372,Salamanca,PP
352,Villavieja de Yeltes,7450,37373,Salamanca,PSOE
353,Villoria,1344,37374,Salamanca,PP
354,Villoruela,7610,37375,Salamanca,PSOE
355,Vilvestre,4110,37350,Salamanca,AV
356,Vitigudino,241,37376,Salamanca,PP
357,Yecla de Yeltes,2270,37377,Salamanca,Cs
358,Zamarra,820,37378,Salamanca,PP
359,Zamayón,1980,37379,Salamanca,PSOE
360,Zarapicos,590,37380,Salamanca,PSOE
361,La Zarza de Pumareda,1380,37381,Salamanca,PP
362,Zorita de la Frontera,1700,37382,Salamanca,PP
